INODE,ATIME,MTIME,UID,GID,MODE,SIZE,DISK,PATH
250609822-3,1767571200,1763856000,0,0,16877,262144,262144,"/red/peddn10"
250609822-14006,1767571200,1703980800,0,976,16893,4096,0,"/red/peddn10/ABHD_restart"
250609822-14007,1767571200,1653436800,19121,2081,16893,4096,0,"/red/peddn10/ZMLH_simdata"
250609822-14008,1767571200,1703980800,0,1105,16893,4096,0,"/red/peddn10/ABQQKF_restart"
250609822-14009,1767571200,1703980800,0,1102,16893,4096,0,"/red/peddn10/BRRI_IRS_restart"
250609822-14010,1767571200,1703980800,0,1231,16893,4096,0,"/red/peddn10/EVENT03_restart"
250609822-14011,1767571200,1489881600,0,1139,16893,4096,0,"/red/peddn10/EVENTHRDHUN_restart"
250609822-14012,1767571200,1694995200,0,1302,16873,4096,0,"/red/peddn10/GEOCONSISTENTGAS_restart"
250609822-14013,1767571200,1717632000,0,0,16877,4096,0,"/red/peddn10/HRML_restart"
250609822-14014,1767571200,1717632000,0,0,16877,4096,0,"/red/peddn10/HSBHGAS_restart"
